ID;DescriptionLevel;EntityType;CompleteUnitId;UnitId;RepositoryCode;CountryCode;UnitTitleType;UnitTitle;AlternativeTitle;NormalizedFormsName;OtherFormsName;UnitDateInitial;UnitDateFinal;UnitDateInitialCertainty;UnitDateFinalCertainty;AllowUnitDatesInference;AccumulationDates;UnitDateBulk;UnitDateNotes;Dimensions;AllowExtentsInference;Repository;Producer;Author;MaterialAuthor;Contributor;Recipient;BiogHist;GeogName;LegalStatus;Functions;Authorities;InternalStructure;GeneralContext;CustodHist;AcqInfo;Classifier;ScopeContent;Terms;DocumentalTradition;DocumentalTypology;Marks;Monograms;Stamps;Inscriptions;Signatures;Appraisal;AppraisalElimination;AppraisalEliminationDate;Accruals;Arrangement;AccessRestrict;UseRestrict;PhysLoc;OriginalNumbering;PreviousLoc;LangMaterial;PhysTech;OtherFindAid;ContainerTypeTerm;OriginalsLoc;AltFormAvail;RelatedMaterial;Note;AllowTextualContentInference;TextualContent;RetentionDisposalDocumentState;ApplySelectionTable;RetentionDisposalPolicy;RetentionDisposalReference;RetentionDisposalClassification;RetentionDisposalPeriod;RetentionDisposalApplyDate;RetentionDisposalFinalDestination;RetentionDisposalObservations;DescRules;Revised;Published;Available;Highlighted;Creator;Created;Username;ProcessInfoDate;OtherDescriptiveData;ProcessInfo
"1348421";"DC";;"PT/UM-ADB/DIO/MAB/006/00105";"00105";"UM-ADB";"PT";;"Inquirição de genere de Antonio Sousa e Baltazar Amorim Sousa";;;;"1684-06-18";"1684-06-18";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Andre Fernandes Soeiro e Felicia Sousa Amorim. Natural e/ou residente em CAMINHA-NOSSA SENHORA ASSUNCAO, actual concelho de CAMINHA e distrito (ou país) Viana do Castelo.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;;;;;;"Série Inquirições de genere: Clemente Morim Sousa,Sobrinho Paterno. Proc.5615. Série Processos de património, processo n.º 4787";;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:06";"asousa";"14/04/2014 18:01:05";;
"1348422";"DC";;"PT/UM-ADB/DIO/MAB/006/00106";"00106";"UM-ADB";"PT";;"Inquirição de genere de Antonio Sousa Teixeira";;;;"1684-02-11";"1684-02-11";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Antonio Sousa e Maria Tinoco. Natural e/ou residente em DORNELAS,Sao Salvador, actual concelho de AMARES e distrito (ou país) BRAGA.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;"Doc.danificado.";;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:06";"asousa";"14/04/2014 18:01:05";;
"1348423";"DC";;"PT/UM-ADB/DIO/MAB/006/00107";"00107";"UM-ADB";"PT";;"Inquirição de genere de Antonio Soares Vivas";;;;"1684-07-16";"1684-07-16";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Lourenco Mateus Velho e Ines Soares. Natural e/ou residente em GONDOMAR,Santo Andre, actual concelho de VILA VERDE e distrito (ou país) BRAGA.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;"Doc.danificado.";;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:07";"asousa";"14/04/2014 18:01:05";;
"1348424";"DC";;"PT/UM-ADB/DIO/MAB/006/00108";"00108";"UM-ADB";"PT";;"Inquirição de genere de Antonio Monteiro";;;;"1684-05-04";"1684-05-04";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Domingos Fernandes e Maria Azevedo. Natural e/ou residente em BRAGA-MAXIMINOS,Sao Pedro, actual concelho de BRAGA e distrito (ou país) BRAGA.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;"Doc.danificado.";;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:07";"asousa";"14/04/2014 18:01:05";;
"1348425";"DC";;"PT/UM-ADB/DIO/MAB/006/00109";"00109";"UM-ADB";"PT";;"Inquirição de genere de Antonio Peixoto Miranda";;;;"1685-01-17";"1685-01-17";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Joao Peixoto Miranda e Serafina Barbosa Lima. Natural e/ou residente em GUIMARAES-OLIVEIRA,Santa Maria, actual concelho de GUIMARAES e distrito (ou país) BRAGA.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;;;;;;"Série Inquirições de genere: Fez Inquiricao para Conego da Se de Braga, em 1701.01.17.  Ver Tomo V, fls.19.  Martim Peixoto Miranda,Irmao. Proc.14803.  Jose Peixoto Miranda,Irmao. Fez Inquiricao para Conego da Se de Braga, em 1686.11.24. Ver Tomo IV, fls.23.";;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:07";"asousa";"14/04/2014 18:01:05";;
"1348426";"DC";;"PT/UM-ADB/DIO/MAB/006/00110";"00110";"UM-ADB";"PT";;"Inquirição de genere de Afonso Manuel Meneses";;;;"1684-02-07";"1684-02-07";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Joao Manuel Meneses e Maria Silva,Solteira. Natural e/ou residente em AVANCA,Santa Marinha, actual concelho de ESTARREJA e distrito (ou país) AVEIRO.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;"Doc.danificado.";;;;;"Série Inquirições de genere: Fez Inquiricao para Arcediago do Couto, em 1695.09.08. Ver Tomo IV, fls.287.";;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:07";"asousa";"14/04/2014 18:01:05";;
"1348427";"DC";;"PT/UM-ADB/DIO/MAB/006/00111";"00111";"UM-ADB";"PT";;"Inquirição de genere de Antonio Rodrigues";;;;"1684-05-26";"1684-05-26";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Goncalo Alvares e Maria Rodrigues. Natural e/ou residente em VILAR NANTES,Sao Salvador, actual concelho de CHAVES e distrito (ou país) VILA REAL.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:07";"asousa";"14/04/2014 18:01:05";;
"1348428";"DC";;"PT/UM-ADB/DIO/MAB/006/00112";"00112";"UM-ADB";"PT";;"Inquirição de genere de Antonio Rebelo Pereira";;;;"1685-08-31";"1685-08-31";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Francisco Rebelo Gil e Maria Pereira. Natural e/ou residente em OUTEIRO,Santa Maria, actual concelho de CABECEIRAS BASTO e distrito (ou país) BRAGA.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;"Doc.danificado.";;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:07";"asousa";"14/04/2014 18:01:05";;
"1348429";"DC";;"PT/UM-ADB/DIO/MAB/006/00113";"00113";"UM-ADB";"PT";;"Inquirição de genere de Antonio Vaz Oliveira";;;;"1685-09-03";"1685-09-03";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Antonio Goncalves e Maria Vaz. Natural e/ou residente em FERREIROS,Santa Maria, actual concelho de AMARES e distrito (ou país) BRAGA.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;"Doc.danificado.";;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:07";"asousa";"14/04/2014 18:01:05";;
"1348430";"DC";;"PT/UM-ADB/DIO/MAB/006/00114";"00114";"UM-ADB";"PT";;"Inquirição de genere de Antonio Costa";;;;"1685-01-26";"1685-01-26";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Pedro Lopes e Maria Costa. Natural e/ou residente em SANTIAGO RIBEIRA ALHARIZ, actual concelho de VALPACOS e distrito (ou país) VILA REAL.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:07";"asousa";"14/04/2014 18:01:05";;
"1348431";"DC";;"PT/UM-ADB/DIO/MAB/006/00115";"00115";"UM-ADB";"PT";;"Inquirição de genere de Andre Pinheiro";;;;"1684-12-15";"1684-12-15";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Antonio Goncalves e Maria Pinheiro. Natural e/ou residente em OUTEIRO SECO,Sao Miguel, actual concelho de CHAVES e distrito (ou país) VILA REAL.";;;;;;;;;;;;;;;;"A - 5";;"A - 5";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:08";"asousa";"14/04/2014 18:01:05";;
"1348432";"DC";;"PT/UM-ADB/DIO/MAB/006/00116";"00116";"UM-ADB";"PT";;"Inquirição de genere de Antonio Marques";;;;"1685-05-09";"1685-05-09";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Antonio Marques e Domingas Ferreira. Natural e/ou residente em BRAGA-SE,Santa Maria, actual concelho de BRAGA e distrito (ou país) BRAGA.";;;;;;;;;;;;;;;;"A - 5";;"A - 5";;"Doc.danificado.";;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:08";"asousa";"14/04/2014 18:01:05";;
"1348433";"DC";;"PT/UM-ADB/DIO/MAB/006/00117";"00117";"UM-ADB";"PT";;"Inquirição de genere de Alvaro Barbosa";;;;"1685-05-18";"1685-05-18";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Joao Barbosa e Mariana Costa. Natural e/ou residente em FRAGOSO,Sao Pedro, actual concelho de BARCELOS e distrito (ou país) BRAGA.";;;;;;;;;;;;;;;;"A - 5";;"A - 5";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:08";"asousa";"14/04/2014 18:01:05";;
"1348434";"DC";;"PT/UM-ADB/DIO/MAB/006/00118";"00118";"UM-ADB";"PT";;"Inquirição de genere de Antonio Fernandes Figueiredo";;;;"1685-10-09";"1685-10-09";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Francisco Fernandes e Isabel Fernandes. Natural e/ou residente em SERAPICOS,Santa Ana, actual concelho de VALPACOS e distrito (ou país) VILA REAL.";;;;;;;;;;;;;;;;"A - 5";;"A - 5";;"Doc.danificado.";;;;;"Série Inquirições de genere: Joao Fernandes Figueiredo,Irmao. Proc.4023.";;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:08";"asousa";"14/04/2014 18:01:05";;
"1348435";"DC";;"PT/UM-ADB/DIO/MAB/006/00119";"00119";"UM-ADB";"PT";;"Inquirição de genere de Antonio Ribeiro";;;;"1685-02-19";"1685-02-19";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Francisco Ribeiro e Isabel Lopes. Natural e/ou residente em GUIMARAES-OLIVEIRA,Santa Maria, actual concelho de GUIMARAES e distrito (ou país) BRAGA.";;;;;;;;;;;;;;;;"A - 5";;"A - 5";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:08";"asousa";"14/04/2014 18:01:05";;
"1348436";"DC";;"PT/UM-ADB/DIO/MAB/006/00120";"00120";"UM-ADB";"PT";;"Inquirição de genere de Antonio Vieira";;;;"1685-04-03";"1685-04-03";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Antonio Vieira e Catarina Magalhaes. Natural e/ou residente em AVELEDA,Sao Salvador, actual concelho de LOUSADA e distrito (ou país) PORTO.";;;;;;;;;;;;;;;;"A - 5";;"A - 5";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:08";"asousa";"14/04/2014 18:01:05";;
"1348437";"DC";;"PT/UM-ADB/DIO/MAB/006/00121";"00121";"UM-ADB";"PT";;"Inquirição de genere de Andre Barroso";;;;"1685-02-05";"1685-02-05";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Andre Goncalves e Barbara Joao. Natural e/ou residente em RIO DOURO,Santo Andre, actual concelho de CABECEIRAS BASTO e distrito (ou país) BRAGA.";;;;;;;;;;;;;;;;"A - 5";;"A - 5";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:08";"asousa";"14/04/2014 18:01:05";;
"1348438";"DC";;"PT/UM-ADB/DIO/MAB/006/00122";"00122";"UM-ADB";"PT";;"Inquirição de genere de Antonio Machado Carmona";;;;"1685-10-25";"1685-10-25";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Joao Leite Vasconcelos e Ines Barros Machado. Natural e/ou residente em BARCELOS-SANTA MARIA MAIOR, actual concelho de BARCELOS e distrito (ou país) BRAGA.";;;;;;;;;;;;;;;;"A - 5";;"A - 5";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:09";"asousa";"14/04/2014 18:01:05";;
"1348439";"DC";;"PT/UM-ADB/DIO/MAB/006/00123";"00123";"UM-ADB";"PT";;"Inquirição de genere de Andre Machado Figueiredo";;;;"1685-01-04";"1685-01-04";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Bartolomeu Figueiredo e Maria Maciel. Natural e/ou residente em FRAGOSO,Sao Pedro, actual concelho de BARCELOS e distrito (ou país) BRAGA.";;;;;;;;;;;;;;;;"A - 5";;"A - 5";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:09";"asousa";"14/04/2014 18:01:05";;
"1348440";"DC";;"PT/UM-ADB/DIO/MAB/006/00124";"00124";"UM-ADB";"PT";;"Inquirição de genere de Antonio Vieira";;;;"1684-11-06";"1684-11-06";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Domingos Esteves e Catarina Vieira. Natural e/ou residente em DORNELAS,Sao Salvador, actual concelho de AMARES e distrito (ou país) BRAGA.";;;;;;;;;;;;;;;;"A - 5";;"A - 5";;;;;;;"Série Inquirições de genere: Bento Vieira,Filho. Proc.31049.";;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:09";"asousa";"14/04/2014 18:01:05";;
